postcode,message
BT350HP,No coordinates found for postcode
BT355DF,No coordinates found for postcode
BT355DS,No coordinates found for postcode
BT355DZ,No coordinates found for postcode
BT355ED,No coordinates found for postcode
BT355EF,No coordinates found for postcode
BT355EG,No coordinates found for postcode
BT355EH,No coordinates found for postcode
BT355EP,No coordinates found for postcode
BT355EW,No coordinates found for postcode
BT355EX,No coordinates found for postcode
BT355EY,No coordinates found for postcode
BT355SA,No coordinates found for postcode
BT355SB,No coordinates found for postcode
BT355SD,No coordinates found for postcode
BT355SE,No coordinates found for postcode
BT355SF,No coordinates found for postcode
BT355SG,No coordinates found for postcode
BT355SH,No coordinates found for postcode
BT355SJ,No coordinates found for postcode
BT355SL,No coordinates found for postcode
BT355SN,No coordinates found for postcode
BT355SP,No coordinates found for postcode
BT355SQ,No coordinates found for postcode
BT355SR,No coordinates found for postcode
BT355SS,No coordinates found for postcode
BT355ST,No coordinates found for postcode
BT355SU,No coordinates found for postcode
BT355SW,No coordinates found for postcode
BT355SX,No coordinates found for postcode
BT355SY,No coordinates found for postcode
BT355SZ,No coordinates found for postcode
BT355TA,No coordinates found for postcode
BT355TB,No coordinates found for postcode
BT355TD,No coordinates found for postcode
BT355TE,No coordinates found for postcode
BT355TF,No coordinates found for postcode
BT355TG,No coordinates found for postcode
BT355TH,No coordinates found for postcode
BT355TJ,No coordinates found for postcode
BT355TL,No coordinates found for postcode
BT355TN,No coordinates found for postcode
BT356FU,No coordinates found for postcode
BT356HJ,No coordinates found for postcode
BT356PJ,No coordinates found for postcode
BT369AW,No coordinates found for postcode
BT369BP,No coordinates found for postcode
BT369BY,No coordinates found for postcode
BT369DT,No coordinates found for postcode
BT369EN,No coordinates found for postcode
BT369ER,No coordinates found for postcode
BT369EZ,No coordinates found for postcode
BT369FB,No coordinates found for postcode
BT369FD,No coordinates found for postcode
BT369FE,No coordinates found for postcode
BT369FF,No coordinates found for postcode
BT369FG,No coordinates found for postcode
BT369FN,No coordinates found for postcode
BT369FQ,No coordinates found for postcode
BT369FS,No coordinates found for postcode
BT369FT,No coordinates found for postcode
BT369SA,No coordinates found for postcode
BT369SB,No coordinates found for postcode
